created,temperature,humidity,co,h2s,no2,sgp30_tvoc,sgp30_co2,nh3,pm_mass_1_0,pm_mass_2_5,pm_mass_4_0,pm_mass_10,pm_number_0_5,pm_number_1_0,pm_number_2_5,pm_number_4_0,pm_number_10,led_status
2020-12-07 22:08,24.9796257,18.48361206,3753,168,131,155,400,46.96969986,13.36152363,14.15770531,14.1807003,14.1852932,91.28955078,106.1882019,106.6344299,106.6741409,106.693161,0
2020-12-07 21:48,25.01179695,18.54601288,3648,161,149,156,400,46.36363602,15.35909939,16.31624031,16.37661171,16.38867569,104.8491516,122.0220413,122.573761,122.6262512,122.6492615,0
2020-12-07 21:38,25.01984024,18.60536957,3753,149,140,157,400,47.27272797,14.17608643,15.09776688,15.18445396,15.20178986,96.69264984,112.5855942,113.1302109,113.1848755,113.2071609,0
2020-12-07 21:28,25.0439682,18.72561646,3989,147,143,163,400,43.33333588,14.4348793,15.41254139,15.53250122,15.55647564,98.37530518,114.6021423,115.1929169,115.2549515,115.278717,0
2020-12-07 21:18,25.01447868,18.6928978,3648,140,164,169,400,46.36363602,15.15718746,16.18865013,16.31856346,16.34454155,103.2876282,120.3318863,120.9567566,121.0226822,121.0477829,0
2020-12-07 21:08,25.00375366,18.87576866,3701,127,143,181,400,47.87879181,15.52620697,16.52247429,16.60674858,16.62358284,105.92939,123.3212204,123.9055023,123.9632339,123.9872818,0
2020-12-07 20:48,24.99571037,19.31178665,4042,117,126,230,400,47.27272797,14.71744823,15.67408562,15.76389027,15.781847,100.3856888,116.8852844,117.4504929,117.5071945,117.5303345,0
2020-12-07 20:38,25.00911522,19.77585983,3859,100,152,294,400,46.66667175,14.13324451,15.12827778,15.2763319,15.30593491,96.23995209,112.1699524,112.7833633,112.8502502,112.8745575,0
2020-12-07 20:28,25.0627346,20.0397644,3831,86,146,325,400,46.0606041,14.20628643,15.12182903,15.20215416,15.21820354,96.91569519,112.8334503,113.3717346,113.4252014,113.4473114,0
2020-12-07 20:18,25.05737305,20.28199959,3752,97,146,352,400,48.48484802,14.58250713,15.54276276,15.64177322,15.6615572,99.43916321,115.8013306,116.3727951,116.431015,116.4542694,0
